DateRaw,Apartment_HPI_SA
2005-01-01,100.0
2005-02-01,100.6
2005-03-01,101.0
2005-04-01,101.5
2005-05-01,101.9
2005-06-01,102.6
2005-07-01,103.3
2005-08-01,103.8
2005-09-01,106.0
2005-10-01,106.5
2005-11-01,107.6
2005-12-01,108.8
2006-01-01,110.1
2006-02-01,111.3
2006-03-01,112.4
2006-04-01,113.7
2006-05-01,115.1
2006-06-01,116.5
2006-07-01,117.9
2006-08-01,119.4
2006-09-01,121.1
2006-10-01,121.7
2006-11-01,122.4
2006-12-01,123.4
2007-01-01,124.6
2007-02-01,125.7
2007-03-01,127.1
2007-04-01,128.4
2007-05-01,129.7
2007-06-01,131.0
2007-07-01,132.2
2007-08-01,133.4
2007-09-01,134.3
2007-10-01,135.3
2007-11-01,136.6
2007-12-01,137.4
2008-01-01,138.3
2008-02-01,138.6
2008-03-01,138.8
2008-04-01,138.5
2008-05-01,137.9
2008-06-01,136.9
2008-07-01,136.3
2008-08-01,135.4
2008-09-01,134.4
2008-10-01,132.8
2008-11-01,131.0
2008-12-01,129.9
2009-01-01,127.5
2009-02-01,126.7
2009-03-01,126.4
2009-04-01,127.0
2009-05-01,128.1
2009-06-01,129.8
2009-07-01,131.7
2009-08-01,133.4
2009-09-01,135.4
2009-10-01,137.4
2009-11-01,139.4
2009-12-01,141.0
2010-01-01,143.0
2010-02-01,143.4
2010-03-01,143.9
2010-04-01,144.2
2010-05-01,143.9
2010-06-01,143.3
2010-07-01,142.4
2010-08-01,142.0
2010-09-01,142.2
2010-10-01,142.9
2010-11-01,143.5
2010-12-01,144.3
2011-01-01,145.0
2011-02-01,145.8
2011-03-01,146.5
2011-04-01,147.0
2011-05-01,147.3
2011-06-01,148.3
2011-07-01,149.1
2011-08-01,149.7
2011-09-01,150.0
2011-10-01,149.8
2011-11-01,150.6
2011-12-01,151.0
2012-01-01,151.2
2012-02-01,151.3
2012-03-01,151.4
2012-04-01,151.7
2012-05-01,151.4
2012-06-01,151.1
2012-07-01,150.7
2012-08-01,150.6
2012-09-01,150.4
2012-10-01,149.9
2012-11-01,149.3
2012-12-01,149.1
2013-01-01,149.0
2013-02-01,149.1
2013-03-01,149.5
2013-04-01,149.3
2013-05-01,149.9
2013-06-01,149.9
2013-07-01,150.3
2013-08-01,150.7
2013-09-01,150.9
2013-10-01,151.2
2013-11-01,151.8
2013-12-01,152.2
2014-01-01,152.9
2014-02-01,153.0
2014-03-01,153.3
2014-04-01,153.6
2014-05-01,153.6
2014-06-01,154.1
2014-07-01,154.5
2014-08-01,155.2
2014-09-01,155.8
2014-10-01,157.2
2014-11-01,158.5
2014-12-01,159.0
2015-01-01,159.5
2015-02-01,158.4
2015-03-01,159.8
2015-04-01,160.3
2015-05-01,160.8
2015-06-01,161.3
2015-07-01,162.7
2015-08-01,163.7
2015-09-01,165.6
2015-10-01,166.9
2015-11-01,167.8
2015-12-01,169.5
2016-01-01,170.9
2016-02-01,172.6
2016-03-01,173.9
2016-04-01,175.9
2016-05-01,178.2
2016-06-01,181.7
2016-07-01,184.2
2016-08-01,186.2
2016-09-01,188.4
2016-10-01,189.7
2016-11-01,192.6
2016-12-01,195.0
2017-01-01,197.8
2017-02-01,200.8
2017-03-01,207.6
2017-04-01,213.2
2017-05-01,216.4
2017-06-01,218.9
2017-07-01,220.0
2017-08-01,222.5
2017-09-01,224.2
2017-10-01,227.4
2017-11-01,229.7
2017-12-01,231.8
2018-01-01,234.1
2018-02-01,234.6
2018-03-01,236.3
2018-04-01,236.3
2018-05-01,237.2
2018-06-01,237.5
2018-07-01,238.4
2018-08-01,238.7
2018-09-01,239.0
2018-10-01,239.1
2018-11-01,237.6
2018-12-01,237.7
2019-01-01,235.5
2019-02-01,233.4
2019-03-01,231.7
2019-04-01,231.3
2019-05-01,231.3
2019-06-01,232.3
2019-07-01,233.2
2019-08-01,234.8
2019-09-01,236.8
2019-10-01,238.7
2019-11-01,241.4
2019-12-01,243.1
2020-01-01,245.5
2020-02-01,247.0
2020-03-01,247.4
2020-04-01,243.8
2020-05-01,242.9
2020-06-01,242.8
2020-07-01,245.2
2020-08-01,247.3
2020-09-01,248.9
2020-10-01,250.6
2020-11-01,251.3
2020-12-01,252.3
2021-01-01,254.0
2021-02-01,256.8
2021-03-01,262.0
2021-04-01,267.1
2021-05-01,275.5
2021-06-01,274.9
2021-07-01,277.6
2021-08-01,280.6
2021-09-01,284.9
2021-10-01,287.9
2021-11-01,292.4
2021-12-01,296.3
2022-01-01,307.2
2022-02-01,315.4
2022-03-01,320.1
2022-04-01,318.3
2022-05-01,316.7
2022-06-01,311.8
2022-07-01,307.8
2022-08-01,303.8
2022-09-01,300.1
2022-10-01,297.9
2022-11-01,296.8
2022-12-01,293.6
2023-01-01,291.5
2023-02-01,289.2
2023-03-01,287.7
2023-04-01,291.0
2023-05-01,294.2
2023-06-01,298.6
2023-07-01,300.7
2023-08-01,302.6
2023-09-01,302.6
2023-10-01,302.7
2023-11-01,300.6
2023-12-01,298.4
2024-01-01,296.3
2024-02-01,294.3
2024-03-01,293.6
2024-04-01,293.1
2024-05-01,292.3
2024-06-01,292.2
2024-07-01,292.3
2024-08-01,291.6
2024-09-01,291.4
2024-10-01,290.5
2024-11-01,290.0
2024-12-01,289.8
2025-01-01,288.4
2025-02-01,286.2
2025-03-01,284.4
2025-04-01,281.3
2025-05-01,280.2
2025-06-01,278.0
2025-07-01,277.0
2025-08-01,276.3
2025-09-01,275.7
2025-10-01,275.5
2025-11-01,275.1
